area_id,area_name,b25012001,b25012001_moe,b25012002,b25012002_moe,b25012003,b25012003_moe,b25012004,b25012004_moe,b25012005,b25012005_moe,b25012006,b25012006_moe,b25012007,b25012007_moe,b25012008,b25012008_moe,b25012009,b25012009_moe,b25012010,b25012010_moe,b25012011,b25012011_moe,b25012012,b25012012_moe,b25012013,b25012013_moe,b25012014,b25012014_moe,b25012015,b25012015_moe,b25012016,b25012016_moe,b25012017,b25012017_moe
QN17,Forest Hills,38771,494,18490,656,4512,388,4395,385,1449,272,739,178,2207,288,117,92,13978,646,20281,659,4219,474,4087,464,1287,283,735,229,2065,340,132,101,16062,671
QN18,Rego Park,12455,253,5173,350,1124,178,1004,175,166,79,272,120,566,137,120,76,4049,329,7282,366,1582,273,1544,269,660,189,273,134,611,172,38,49,5700,367
QN19,Glendale,11561,285,5434,327,1813,219,1624,218,315,106,339,118,970,174,189,79,3621,284,6127,360,2217,302,2036,292,661,175,155,87,1220,240,181,103,3910,326
QN20,Ridgewood,23963,393,5194,389,1616,253,1482,248,210,95,309,119,963,206,134,78,3578,326,18769,494,7540,471,6875,453,2039,301,1286,254,3550,362,665,174,11229,527
QN21,Middle Village,14899,290,8775,369,2373,243,2187,234,298,100,388,124,1501,202,186,93,6402,344,6124,383,1831,288,1757,277,392,129,313,135,1052,228,74,82,4293,346
QN22,Flushing,25643,511,7132,485,1469,281,1380,266,349,140,265,141,766,206,89,85,5663,454,18511,608,5042,489,4426,473,1315,306,651,225,2460,376,616,187,13469,619
QN23,College Point,7749,286,3625,299,1119,187,931,174,144,80,218,88,569,141,188,85,2506,267,4124,338,1721,256,1565,258,385,133,357,139,823,192,156,99,2403,296
QN25,Corona,16253,359,3585,347,1308,239,1063,219,120,84,102,82,841,195,245,112,2277,291,12668,449,5597,507,4973,494,1148,271,1519,326,2306,337,624,194,7071,496
QN26,North Corona,11533,345,2123,261,947,187,794,178,117,75,205,112,472,127,153,79,1176,198,9410,394,4766,387,4088,367,1136,231,1064,219,1888,288,678,194,4644,369
QN27,East Elmhurst,6264,214,2832,236,1188,205,867,185,58,49,188,86,621,154,321,108,1644,214,3432,265,1597,217,1400,206,302,108,318,102,780,172,197,92,1835,230
QN28,Jackson Heights,36495,527,13686,633,3717,419,3119,390,742,182,498,162,1879,330,598,165,9969,559,22809,707,8193,597,7477,580,1845,341,1394,294,4238,465,716,209,14616,733
QN29,Elmhurst,27528,399,6669,432,2054,286,1769,266,227,121,354,142,1188,201,285,116,4615,375,20859,523,7629,521,6801,507,1701,303,1468,270,3632,424,828,222,13230,600
QN30,Maspeth,10629,284,5457,306,1509,194,1333,182,253,98,259,90,821,138,176,70,3948,284,5172,345,1658,230,1560,221,476,149,250,96,834,174,98,72,3514,316
QN31,Hunters Point-Sunnyside-West Maspeth,26309,478,5047,383,1212,209,1118,207,391,137,164,84,563,150,94,71,3835,356,21262,533,4780,466,4364,452,1633,292,556,189,2175,343,416,148,16482,601
QN33,Cambria Heights,6337,131,5309,205,1799,205,1351,189,237,97,149,63,965,166,448,113,3510,250,1028,175,411,128,348,124,75,68,43,53,230,102,63,50,617,138
QN34,Queens Village,16048,275,10761,389,4440,350,3493,323,442,147,468,136,2583,290,947,174,6321,360,5287,371,2490,300,2093,279,547,164,455,138,1091,215,397,147,2797,307
QN35,Briarwood-Jamaica Hills,13557,314,5639,384,2074,277,1819,267,404,156,432,167,983,196,255,93,3565,338,7918,441,1994,325,1804,310,729,227,246,111,829,187,190,106,5924,437
QN37,Kew Gardens Hills,13265,312,6839,413,1711,217,1590,221,455,123,320,124,815,184,121,61,5128,395,6426,397,2239,308,2000,296,523,165,564,183,913,250,239,106,4187,391
QN38,Pomonok-Flushing Heights-Hillcrest,11797,268,5292,356,1815,249,1678,240,278,107,310,108,1090,222,137,88,3477,324,6505,372,2167,354,1919,319,308,147,472,162,1139,290,248,151,4338,377
QN41,Fresh Meadows-Utopia,6582,188,2706,210,894,137,891,138,124,67,95,44,672,138,3,25,1812,199,3876,225,1296,225,1188,220,472,180,223,112,493,162,108,100,2580,271
QN42,Oakland Gardens,11235,225,8148,334,2205,283,2129,283,542,164,313,118,1274,225,76,54,5943,341,3087,315,1207,251,1193,251,326,138,223,129,644,191,14,38,1880,269
QN43,Bellerose,8110,254,5855,289,2303,229,2017,222,284,109,345,131,1388,185,286,115,3552,275,2255,285,1038,228,1038,228,334,143,213,106,491,178,0,34,1217,223
QN44,Glen Oaks-Floral Park-New Hyde Park,9167,242,7068,322,1720,230,1539,233,383,155,144,70,1012,194,181,70,5348,301,2099,303,365,123,333,115,186,88,34,38,113,76,32,56,1734,285
QN45,Douglas Manor-Douglaston-Little Neck,9677,208,7569,270,2108,224,1941,213,409,138,303,105,1229,181,167,90,5461,298,2108,286,833,225,714,199,136,102,66,61,512,180,119,116,1275,228
QN46,Bayside-Bayside Hills,16043,279,10839,356,3363,264,3122,262,414,118,483,129,2225,240,241,84,7476,325,5204,358,1570,253,1374,239,466,149,165,99,743,177,196,97,3634,324
