area_id,area_name,b02006001,b02006001_moe,b02006002,b02006002_moe,b02006003,b02006003_moe,b02006004,b02006004_moe,b02006005,b02006005_moe,b02006006,b02006006_moe,b02006007,b02006007_moe,b02006008,b02006008_moe,b02006009,b02006009_moe,b02006010,b02006010_moe,b02006011,b02006011_moe,b02006012,b02006012_moe,b02006013,b02006013_moe,b02006014,b02006014_moe,b02006015,b02006015_moe,b02006016,b02006016_moe,b02006017,b02006017_moe,b02006018,b02006018_moe,b02006019,b02006019_moe
QN18,Rego Park,8787,775,2635,470,46,81,0,34,3812,550,972,419,0,34,164,235,240,116,315,170,0,34,44,60,39,64,0,34,154,130,53,63,75,95,228,173,10,36
QN19,Glendale,946,321,145,147,0,43,0,43,127,123,301,174,0,43,0,43,8,43,24,58,0,43,0,43,262,187,0,43,0,43,0,43,43,74,0,43,36,73
QN20,Ridgewood,5559,826,665,279,0,56,5,57,2797,616,946,386,0,56,0,56,241,179,27,61,0,56,0,56,310,260,0,56,0,56,13,59,111,109,405,196,39,71
QN21,Middle Village,2643,529,154,92,19,149,0,51,1693,427,134,102,0,51,4,51,32,52,313,210,0,51,0,51,0,51,36,77,0,51,25,53,96,111,108,123,29,67
QN22,Flushing,46415,2108,4127,862,631,567,0,54,31220,2042,1429,571,0,54,165,265,255,205,6332,989,40,85,69,95,751,464,0,54,413,188,8,53,282,187,416,220,277,298
QN23,College Point,6486,934,365,209,0,34,0,34,4167,827,271,146,0,34,0,34,11,36,1315,444,0,34,0,34,58,97,0,34,82,111,0,34,89,97,128,93,0,34
QN25,Corona,7767,999,1559,534,115,178,8,45,4560,810,434,261,0,44,165,170,0,44,348,273,0,44,0,44,151,162,113,187,0,44,26,56,31,94,257,237,0,44
QN26,North Corona,4573,811,1646,609,146,161,0,45,1914,505,240,182,0,45,43,81,0,45,15,48,0,45,81,134,334,241,0,45,93,98,35,67,0,45,26,58,0,45
QN27,East Elmhurst,1314,437,312,303,328,235,0,34,204,138,103,112,0,34,0,34,9,34,30,61,0,34,0,34,239,136,0,34,0,34,7,36,52,74,30,47,0,34
QN28,Jackson Heights,25597,2020,8157,1413,3729,1056,0,66,6445,974,1296,393,0,66,92,104,307,189,1145,503,0,66,0,66,2554,846,112,112,31,82,290,193,300,197,1036,511,103,99
